activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,53216,[],CHEMBL683802,Inhibition of autophosphorylation of human Her (p185erbB) tyrosine kinase expressed in SKOV-3 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,,,CHEMBL1134862,Bioorg Med Chem Lett,2002.0,,CHEMBL66570,,CHEMBL66570,7.00,0,http://www.openphacts.org/units/Nanomolar,119490,=,1,1,=,,IC50,nM,,100.0,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,9606,,,IC50,uM,UO_0000065,,0.1
,53218,[],CHEMBL615491,Inhibition of ligand induced proliferation in human Her-2 (p185erbB) tyrosine kinase expressing 3T3 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,,,CHEMBL1134862,Bioorg Med Chem Lett,2002.0,,CHEMBL66570,,CHEMBL66570,6.46,0,http://www.openphacts.org/units/Nanomolar,119490,=,1,1,=,,IC50,nM,,350.0,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,9606,,,IC50,uM,UO_0000065,,0.35
,54406,[],CHEMBL683802,Inhibition of autophosphorylation of human Her (p185erbB) tyrosine kinase expressed in SKOV-3 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,,,CHEMBL1134862,Bioorg Med Chem Lett,2002.0,,CHEMBL305194,,CHEMBL305194,,0,http://www.openphacts.org/units/Nanomolar,119486,>,1,1,>,,IC50,nM,,5000.0,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,9606,,,IC50,uM,UO_0000065,,5.0
,54408,[],CHEMBL615491,Inhibition of ligand induced proliferation in human Her-2 (p185erbB) tyrosine kinase expressing 3T3 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,,,CHEMBL1134862,Bioorg Med Chem Lett,2002.0,,CHEMBL305194,,CHEMBL305194,4.31,0,http://www.openphacts.org/units/Nanomolar,119486,=,1,1,=,,IC50,nM,,49300.0,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,9606,,,IC50,uM,UO_0000065,,49.3
,58126,[],CHEMBL683802,Inhibition of autophosphorylation of human Her (p185erbB) tyrosine kinase expressed in SKOV-3 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,,,CHEMBL1134862,Bioorg Med Chem Lett,2002.0,,CHEMBL67003,,CHEMBL67003,7.00,0,http://www.openphacts.org/units/Nanomolar,119499,=,1,1,=,,IC50,nM,,100.0,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,9606,,,IC50,uM,UO_0000065,,0.1
Not Determined,58128,[],CHEMBL615492,Inhibition of ligand-induced proliferation in human Her-2 (p185erbB) tyrosine kinase expressing 3T3 cells (Not tested),F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,,,CHEMBL1134862,Bioorg Med Chem Lett,2002.0,,CHEMBL67003,,CHEMBL67003,,0,http://www.openphacts.org/units/Nanomolar,119499,,1,0,,,IC50,nM,,,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,9606,,,IC50,uM,UO_0000065,,
,62051,[],CHEMBL683802,Inhibition of autophosphorylation of human Her (p185erbB) tyrosine kinase expressed in SKOV-3 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,,,CHEMBL1134862,Bioorg Med Chem Lett,2002.0,,CHEMBL305246,,CHEMBL305246,6.70,0,http://www.openphacts.org/units/Nanomolar,119493,=,1,1,=,,IC50,nM,,200.0,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,9606,,,IC50,uM,UO_0000065,,0.2
,62053,[],CHEMBL615491,Inhibition of ligand induced proliferation in human Her-2 (p185erbB) tyrosine kinase expressing 3T3 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,,,CHEMBL1134862,Bioorg Med Chem Lett,2002.0,,CHEMBL305246,,CHEMBL305246,6.43,0,http://www.openphacts.org/units/Nanomolar,119493,=,1,1,=,,IC50,nM,,370.0,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,9606,,,IC50,uM,UO_0000065,,0.37
,62058,[],CHEMBL683802,Inhibition of autophosphorylation of human Her (p185erbB) tyrosine kinase expressed in SKOV-3 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,,,CHEMBL1134862,Bioorg Med Chem Lett,2002.0,,CHEMBL69966,,CHEMBL69966,7.40,0,http://www.openphacts.org/units/Nanomolar,119503,=,1,1,=,,IC50,nM,,40.0,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,9606,,,IC50,uM,UO_0000065,,0.04
,62060,[],CHEMBL615491,Inhibition of ligand induced proliferation in human Her-2 (p185erbB) tyrosine kinase expressing 3T3 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,,,CHEMBL1134862,Bioorg Med Chem Lett,2002.0,,CHEMBL69966,,CHEMBL69966,6.30,0,http://www.openphacts.org/units/Nanomolar,119503,=,1,1,=,,IC50,nM,,500.0,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,9606,,,IC50,uM,UO_0000065,,0.5
,63371,[],CHEMBL683802,Inhibition of autophosphorylation of human Her (p185erbB) tyrosine kinase expressed in SKOV-3 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,,,CHEMBL1134862,Bioorg Med Chem Lett,2002.0,,CHEMBL69358,,CHEMBL69358,6.70,0,http://www.openphacts.org/units/Nanomolar,119489,=,1,1,=,,IC50,nM,,200.0,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,9606,,,IC50,uM,UO_0000065,,0.2
,63373,[],CHEMBL615491,Inhibition of ligand induced proliferation in human Her-2 (p185erbB) tyrosine kinase expressing 3T3 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,,,CHEMBL1134862,Bioorg Med Chem Lett,2002.0,,CHEMBL69358,,CHEMBL69358,6.43,0,http://www.openphacts.org/units/Nanomolar,119489,=,1,1,=,,IC50,nM,,370.0,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,9606,,,IC50,uM,UO_0000065,,0.37
,66036,[],CHEMBL686682,Inhibition of autophosphorylation of human Her (p185erbB) tyrosine kinase expressed in SKOV-3 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(C(=O)N2CC(C)NC(C)C2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,,,CHEMBL1134862,Bioorg Med Chem Lett,2002.0,,CHEMBL69071,,CHEMBL69071,6.30,0,http://www.openphacts.org/units/Nanomolar,119488,=,1,1,=,,IC50,nM,,500.0,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,9606,,,IC50,uM,UO_0000065,,0.5
,66038,[],CHEMBL615491,Inhibition of ligand induced proliferation in human Her-2 (p185erbB) tyrosine kinase expressing 3T3 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(C(=O)N2CC(C)NC(C)C2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,,,CHEMBL1134862,Bioorg Med Chem Lett,2002.0,,CHEMBL69071,,CHEMBL69071,6.29,0,http://www.openphacts.org/units/Nanomolar,119488,=,1,1,=,,IC50,nM,,510.0,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,9606,,,IC50,uM,UO_0000065,,0.51
,68474,[],CHEMBL683802,Inhibition of autophosphorylation of human Her (p185erbB) tyrosine kinase expressed in SKOV-3 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,,,CHEMBL1134862,Bioorg Med Chem Lett,2002.0,,CHEMBL264382,,CHEMBL264382,7.40,0,http://www.openphacts.org/units/Nanomolar,119498,=,1,1,=,,IC50,nM,,40.0,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,9606,,,IC50,uM,UO_0000065,,0.04
,68476,[],CHEMBL615491,Inhibition of ligand induced proliferation in human Her-2 (p185erbB) tyrosine kinase expressing 3T3 cells,F,,,BAO_0000190,BAO_0000219,cell-based format,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,,,CHEMBL1134862,Bioorg Med Chem Lett,2002.0,,CHEMBL264382,,CHEMBL264382,5.81,0,http://www.openphacts.org/units/Nanomolar,119498,=,1,1,=,,IC50,nM,,1560.0,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,9606,,,IC50,uM,UO_0000065,,1.56
Not Determined,69861,[],CHEMBL683803,Inhibition of autophosphorylation of human Her (p185erbB) tyrosine kinase expressed in SKOV-3 cells (Not tested),F,,,BAO_0000190,BAO_0000219,cell-based format,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1,,,CHEMBL1134862,Bioorg Med Chem Lett,2002.0,,CHEMBL308672,,CHEMBL308672,,0,http://www.openphacts.org/units/Nanomolar,119502,,1,0,,,IC50,nM,,,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,9606,,,IC50,uM,UO_0000065,,
Not Determined,69863,[],CHEMBL615492,Inhibition of ligand-induced proliferation in human Her-2 (p185erbB) tyrosine kinase expressing 3T3 cells (Not tested),F,,,BAO_0000190,BAO_0000219,cell-based format,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1,,,CHEMBL1134862,Bioorg Med Chem Lett,2002.0,,CHEMBL308672,,CHEMBL308672,,0,http://www.openphacts.org/units/Nanomolar,119502,,1,0,,,IC50,nM,,,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,9606,,,IC50,uM,UO_0000065,,
,107994,[],CHEMBL676069,Inhibition of heregulin-stimulated autophosphorylation of erbB2 in MDA-MB 453 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCN1CCOCC1,,,CHEMBL1134843,J Med Chem,2001.0,"{'bei': '15.36', 'le': '0.32', 'lle': '5.44', 'sei': '6.84'}",CHEMBL136058,,CHEMBL136058,8.30,0,http://www.openphacts.org/units/Nanomolar,265478,=,1,1,=,,IC50,nM,,5.0,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,9606,,,IC50,nM,UO_0000065,,5.0
,108864,[],CHEMBL698843,Inhibition of human epidermal growth factor receptor-2 autophosphorylation,F,,,BAO_0000190,BAO_0000019,assay format,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,,,CHEMBL1135208,Bioorg Med Chem Lett,2002.0,,CHEMBL939,GEFITINIB,CHEMBL939,5.79,0,http://www.openphacts.org/units/Nanomolar,182223,=,1,1,=,,IC50,nM,,1604.0,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,9606,,,IC50,uM,UO_0000065,,1.604
,108869,[],CHEMBL698843,Inhibition of human epidermal growth factor receptor-2 autophosphorylation,F,,,BAO_0000190,BAO_0000019,assay format,C#Cc1cccc(Nc2c(C#N)cnc3cc(OCCOC)c(OCCOC)cc23)c1,,,CHEMBL1135208,Bioorg Med Chem Lett,2002.0,,CHEMBL95320,,CHEMBL95320,4.93,0,http://www.openphacts.org/units/Nanomolar,182226,=,1,1,=,,IC50,nM,,11750.0,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,9606,,,IC50,uM,UO_0000065,,11.75
,110483,[],CHEMBL676069,Inhibition of heregulin-stimulated autophosphorylation of erbB2 in MDA-MB 453 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1.Cl.Cl,,,CHEMBL1134843,J Med Chem,2001.0,"{'bei': '16.56', 'le': '0.32', 'lle': '3.66', 'sei': '9.08'}",CHEMBL545315,CANERTINIB DIHYDROCHLORIDE,CHEMBL31965,8.05,0,http://www.openphacts.org/units/Nanomolar,265491,=,1,1,=,,IC50,nM,,9.0,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,9606,,,IC50,nM,UO_0000065,,9.0
,117232,[],CHEMBL676068,Inhibition of heregulin-stimulated autophosphorylation of erbB2 in MDA-MB 453 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CCN(CC)CCCNC(=O)/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,,,CHEMBL1134843,J Med Chem,2001.0,"{'bei': '14.92', 'le': '0.32', 'lle': '3.98', 'sei': '7.00'}",CHEMBL434827,,CHEMBL434827,7.85,0,http://www.openphacts.org/units/Nanomolar,265479,=,1,1,=,,IC50,nM,,14.0,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,9606,,,IC50,nM,UO_0000065,,14.0
,121736,[],CHEMBL698843,Inhibition of human epidermal growth factor receptor-2 autophosphorylation,F,,,BAO_0000190,BAO_0000019,assay format,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,,,CHEMBL1135208,Bioorg Med Chem Lett,2002.0,,CHEMBL31965,CANERTINIB,CHEMBL31965,6.28,0,http://www.openphacts.org/units/Nanomolar,182229,=,1,1,=,,IC50,nM,,529.0,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,9606,,,IC50,uM,UO_0000065,,0.529
,122063,[],CHEMBL676069,Inhibition of heregulin-stimulated autophosphorylation of erbB2 in MDA-MB 453 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1)NCCCN1CCOCC1,,,CHEMBL1134843,J Med Chem,2001.0,"{'bei': '14.83', 'le': '0.29', 'lle': '4.73', 'sei': '6.28'}",CHEMBL138940,,CHEMBL138940,7.62,0,http://www.openphacts.org/units/Nanomolar,265475,=,1,1,=,,IC50,nM,,24.0,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,9606,,,IC50,nM,UO_0000065,,24.0
,125566,[],CHEMBL698843,Inhibition of human epidermal growth factor receptor-2 autophosphorylation,F,,,BAO_0000190,BAO_0000019,assay format,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCCCN1CCOCC1,,,CHEMBL1135208,Bioorg Med Chem Lett,2002.0,,CHEMBL95774,,CHEMBL95774,5.77,0,http://www.openphacts.org/units/Nanomolar,182225,=,1,1,=,,IC50,nM,,1692.0,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,9606,,,IC50,uM,UO_0000065,,1.692
,129396,[],CHEMBL698843,Inhibition of human epidermal growth factor receptor-2 autophosphorylation,F,,,BAO_0000190,BAO_0000019,assay format,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,,,CHEMBL1135208,Bioorg Med Chem Lett,2002.0,,CHEMBL553,ERLOTINIB,CHEMBL553,4.73,0,http://www.openphacts.org/units/Nanomolar,182228,=,1,1,=,,IC50,nM,,18520.0,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,9606,,,IC50,uM,UO_0000065,,18.52
,131072,[],CHEMBL676068,Inhibition of heregulin-stimulated autophosphorylation of erbB2 in MDA-MB 453 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CN(C)CCCNC(=O)/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,,,CHEMBL1134843,J Med Chem,2001.0,"{'bei': '15.82', 'le': '0.34', 'lle': '4.80', 'sei': '7.03'}",CHEMBL334801,,CHEMBL334801,7.89,0,http://www.openphacts.org/units/Nanomolar,265480,=,1,1,=,,IC50,nM,,13.0,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,9606,,,IC50,nM,UO_0000065,,13.0
,132038,[],CHEMBL698843,Inhibition of human epidermal growth factor receptor-2 autophosphorylation,F,,,BAO_0000190,BAO_0000019,assay format,COc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,,,CHEMBL1135208,Bioorg Med Chem Lett,2002.0,,CHEMBL99024,,CHEMBL99024,4.83,0,http://www.openphacts.org/units/Nanomolar,182224,=,1,1,=,,IC50,nM,,14700.0,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,9606,,,IC50,uM,UO_0000065,,14.7
,136083,[],CHEMBL676068,Inhibition of heregulin-stimulated autophosphorylation of erbB2 in MDA-MB 453 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,CN(C)CCCOC(=O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,,,CHEMBL1134843,J Med Chem,2001.0,"{'bei': '13.96', 'le': '0.30', 'lle': '2.83', 'sei': '7.21'}",CHEMBL140561,,CHEMBL140561,6.96,0,http://www.openphacts.org/units/Nanomolar,265482,=,1,1,=,,IC50,nM,,110.0,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,9606,,,IC50,nM,UO_0000065,,110.0
,139597,[],CHEMBL676069,Inhibition of heregulin-stimulated autophosphorylation of erbB2 in MDA-MB 453 cells,B,,,BAO_0000190,BAO_0000219,cell-based format,O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCn1ccnc1,,,CHEMBL1134843,J Med Chem,2001.0,"{'bei': '15.52', 'le': '0.33', 'lle': '4.66', 'sei': '6.39'}",CHEMBL342828,,CHEMBL342828,8.09,0,http://www.openphacts.org/units/Nanomolar,265477,=,1,1,=,,IC50,nM,,8.1,CHEMBL1824,Homo sapiens,Receptor protein-tyrosine kinase erbB-2,9606,,,IC50,nM,UO_0000065,,8.1
